condition1,trialNo,stim1,accuracy,RT,participant,early_late_acquisition,language,congruency
incongruent_eng,6,bird_DOG,1,1233,2413,early,eng,incong
congruent_span,7,bird_PAJARO,1,1169,2413,early,span,cong
incongruent_span,8,bird_PERRO,1,1636,2413,early,span,incong
congruent_eng,9,cat-CAT,1,978,2413,early,eng,cong
incongruent_eng,10,cat_DOG,1,1056,2413,early,eng,incong
incongruent_span,11,cat_PERRO,1,5884,2413,early,span,incong
congruent_span,12,cat_GATO,1,1231,2413,early,span,cong
incongruent_eng,13,cheese_APPLE,1,1278,2413,early,eng,incong
congruent_eng,14,cheese_CHEESE,1,1066,2413,early,eng,cong
incongruent_span,15,cheese_MANZANA,1,1109,2413,early,span,incong
congruent_span,16,cheese_QUESO,1,1102,2413,early,span,cong
congruent_eng,17,cow_COW,1,1086,2413,early,eng,cong
incongruent_eng,18,cow_BIRD,1,8410,2413,early,eng,incong
congruent_span,19,cow_VACA,1,8073,2413,early,span,cong
incongruent_span,20,cow_PAJARO,1,1670,2413,early,span,incong
congruent_eng,21,dog_DOG,1,1108,2413,early,eng,cong
congruent_span,22,dog_PERRO,1,1109,2413,early,span,cong
incongruent_eng,23,dog_CAT,1,1162,2413,early,eng,incong
incongruent_span,24,dog_GATO,1,1073,2413,early,span,incong
congruent_eng,25,eye_EYE,1,895,2413,early,eng,cong
congruent_span,26,eye_OJO,1,7104,2413,early,span,cong
incongruent_span,27,eye_MANO,1,1090,2413,early,span,incong
incongruent_eng,28,eye_HAND,1,1148,2413,early,eng,incong
congruent_eng,29,hand_HAND,1,1123,2413,early,eng,cong
congruent_span,30,hand_MANO,1,858,2413,early,span,cong
incongruent_span,31,hand_BOCA,1,1106,2413,early,span,incong
incongruent_eng,32,hand_MOUTH,1,1146,2413,early,eng,incong
congruent_eng,33,mouth_MOUTH,1,1011,2413,early,eng,cong
congruent_span,34,mouth_BOCA,1,1010,2413,early,span,cong
incongruent_span,35,mouth_NARIZ,1,2457,2413,early,span,incong
incongruent_eng,36,mouth_NOSE,1,11104,2413,early,eng,incong
congruent_eng,37,nose_NOSE,1,872,2413,early,eng,cong
congruent_span,38,nose_NARIZ,1,960,2413,early,span,cong
incongruent_eng,39,nose_HAND,1,1017,2413,early,eng,incong
incongruent_span,40,nose_MANO,1,928,2413,early,span,incong
incongruent_span,41,strawberry_CARNE,1,1416,2413,early,span,incong
incongruent_eng,42,strawberry_CHEESE,1,1302,2413,early,eng,incong
congruent_eng,43,strawberry_STRAWBERRY,1,1197,2413,early,eng,cong
congruent_span,44,strawberry_FRESA,1,1637,2413,early,span,cong
